"customer_id";"total_orders";"total_quantity";"total_revenue";"first_purchase_ts";"last_purchase_ts";"customer_lifetime_days"
12445;1;62.0;133.4;"2011-07-29";"2011-07-29";0
12446;1;351.0;1002.31;"2011-12-04";"2011-12-04";0
12447;1;190.0;476.49;"2011-10-26";"2011-10-26";0
12448;1;243.0;449.45;"2011-02-03";"2011-02-03";0
12449;4;1553.0;4067.29;"2010-12-08";"2011-09-25";291
12450;2;128.0;197.88;"2011-02-03";"2011-03-28";53
12451;5;6575.0;9035.52;"2011-04-13";"2011-11-21";222
12452;2;185.0;430.57;"2011-09-02";"2011-09-04";2
12453;1;473.0;707.09;"2011-05-26";"2011-05-26";0
12454;1;1006.0;3528.34;"2011-12-06";"2011-12-06";0
12455;6;2089.0;2466.86;"2010-12-05";"2011-11-09";339
12456;3;1633.0;3181.04;"2011-02-03";"2011-10-06";245
12457;7;843.0;2363.23;"2011-10-10";"2011-11-18";39
12458;2;506.0;947.4;"2011-07-28";"2011-11-13";108
12461;2;287.0;826.88;"2011-04-03";"2011-09-21";171
12462;2;536.0;1189.59;"2011-06-09";"2011-08-17";69
12463;4;776.0;1344.78;"2010-12-02";"2011-11-28";361
12464;8;112.0;1212.05;"2011-04-14";"2011-12-05";235
12465;2;479.0;742.19;"2011-02-22";"2011-09-01";191
12468;2;366.0;729.54;"2010-12-05";"2011-05-09";155
12471;30;8212.0;19824.05;"2011-01-24";"2011-11-24";304
12472;7;4148.0;6572.11;"2010-12-08";"2011-09-13";279
12473;5;2439.0;3938.55;"2010-12-01";"2011-12-09";373
12474;18;4847.0;7375.79;"2010-12-14";"2011-12-07";358
12475;1;535.0;723.38;"2011-12-07";"2011-12-07";0
12476;11;2408.0;6816.42;"2011-01-24";"2011-11-17";297
12477;6;3653.0;13219.74;"2011-06-13";"2011-12-05";175
12478;1;236.0;680.99;"2011-10-25";"2011-10-25";0
12479;1;385.0;527.2;"2011-09-28";"2011-09-28";0
12480;4;1707.0;3281.63;"2011-03-22";"2011-09-13";175
12481;10;3304.0;5596.32;"2011-01-11";"2011-11-30";323
12483;8;1110.0;2484.98;"2010-12-17";"2011-11-29";347
12484;6;2191.0;4541.72;"2011-01-25";"2011-09-04";222
12488;3;529.0;1298.66;"2011-03-08";"2011-11-04";241
12489;1;105.0;334.93;"2011-03-21";"2011-03-21";0
12490;10;3064.0;5417.93;"2011-02-10";"2011-11-20";283
12491;1;260.0;460.4;"2011-03-20";"2011-03-20";0
12492;2;192.0;263.21;"2011-08-26";"2011-11-25";91
12493;2;207.0;433.74;"2011-03-04";"2011-12-08";279
12494;7;707.0;1246.1;"2011-01-19";"2011-12-08";323
12497;1;1236.0;1043.1;"2011-10-19";"2011-10-19";0
12498;3;159.0;403.7;"2011-08-03";"2011-12-02";121
12500;11;2678.0;4257.82;"2010-12-07";"2011-11-22";350
12501;1;1783.0;2169.39;"2011-03-20";"2011-03-21";1
12502;5;820.0;3723.87;"2011-05-26";"2011-11-17";175
12504;2;90.0;482.05;"2011-05-24";"2011-08-22";90
12506;1;23.0;73.5;"2011-11-10";"2011-11-10";0
12507;3;894.0;1304.81;"2011-03-29";"2011-06-16";79
12508;2;272.0;398.27;"2011-06-07";"2011-06-22";15
12509;1;55.0;176.5;"2011-07-31";"2011-07-31";0
12510;2;353.0;982.57;"2011-04-12";"2011-05-09";27
12512;2;99.0;138.03;"2011-11-20";"2011-11-20";0
12513;1;462.0;612.29;"2011-08-02";"2011-08-02";0
12514;1;440.0;1017.68;"2011-09-13";"2011-09-14";1
12515;1;131.0;383.7;"2011-03-08";"2011-03-08";0
12516;2;875.0;1312.06;"2011-01-06";"2011-11-01";299
12517;5;1371.0;2502.84;"2010-12-02";"2011-11-09";342
12518;5;1318.0;2056.89;"2011-06-09";"2011-12-01";175
12519;1;183.0;340.84;"2011-11-23";"2011-11-23";0
12520;5;1439.0;2634.26;"2011-05-11";"2011-11-30";203
12521;1;309.0;599.68;"2011-05-09";"2011-05-09";0
12522;2;194.0;192.72;"2010-12-10";"2011-03-17";97
12523;11;865.0;1789.77;"2011-02-07";"2011-11-23";289
12524;8;3699.0;4485.72;"2011-03-14";"2011-11-30";261
12526;3;632.0;1316.66;"2011-09-20";"2011-12-07";78
12527;3;234.0;348.71;"2011-04-12";"2011-10-19";190
12528;6;756.0;1933.48;"2011-04-15";"2011-11-24";223
12530;4;913.0;1662.28;"2011-03-20";"2011-11-30";255
12531;1;45.0;125.22;"2011-09-18";"2011-09-18";0
12532;1;153.0;349.83;"2011-05-23";"2011-05-23";0
12534;1;651.0;1089.18;"2011-06-07";"2011-06-08";1
12535;2;219.0;716.35;"2010-12-09";"2011-09-25";290
12536;3;2803.0;12601.83;"2011-02-14";"2011-11-30";289
12538;1;191.0;363.95;"2011-06-07";"2011-06-07";0
12539;4;2067.0;5568.35;"2011-03-25";"2011-09-23";182
12540;17;6685.0;13400.24;"2010-12-05";"2011-12-08";368
12541;3;680.0;981.18;"2011-02-04";"2011-08-10";187
12544;1;136.0;372.7;"2011-04-05";"2011-04-05";0
12545;2;523.0;1000.39;"2011-09-29";"2011-11-06";38
12546;2;633.0;1161.5;"2011-01-16";"2011-11-02";290
12547;2;134.0;207.8;"2011-08-11";"2011-12-07";118
12548;1;49.0;95.2;"2011-03-03";"2011-03-04";1
12550;1;569.0;964.83;"2011-10-25";"2011-10-26";1
12551;1;100.0;168.0;"2011-02-28";"2011-02-28";0
12552;2;88.0;437.82;"2011-03-10";"2011-03-18";8
12553;10;1965.0;3692.28;"2011-04-03";"2011-12-02";243
12556;2;358.0;603.71;"2010-12-14";"2011-04-10";117
12557;5;4384.0;11990.96;"2010-12-09";"2011-10-05";300
12558;1;196.0;269.96;"2011-10-13";"2011-10-14";1
12559;2;283.0;561.71;"2011-04-26";"2011-05-24";28
12560;3;1110.0;2134.01;"2011-05-09";"2011-10-19";163
12561;1;177.0;238.85;"2011-06-10";"2011-06-10";0
12562;7;1779.0;3781.74;"2011-01-27";"2011-12-07";314
12564;1;133.0;456.9;"2011-09-26";"2011-09-26";0
12565;1;80.0;145.92;"2011-07-19";"2011-07-19";0
12566;1;265.0;351.65;"2011-10-10";"2011-10-10";0
12567;10;4305.0;9401.28;"2010-12-12";"2011-12-04";357
12569;32;1801.0;4124.69;"2010-12-14";"2011-12-01";352
12571;2;523.0;519.61;"2011-03-08";"2011-07-07";121
12572;2;452.0;1020.42;"2010-12-07";"2011-10-10";307
12573;1;84.0;160.54;"2011-11-13";"2011-11-13";0
12574;1;61.0;218.45;"2011-05-11";"2011-05-11";0
12576;5;967.0;1315.83;"2011-04-08";"2011-11-17";223
12577;3;472.0;657.8;"2011-02-22";"2011-04-13";50
12578;2;1196.0;2794.51;"2011-04-04";"2011-08-04";122
12579;1;285.0;440.42;"2011-11-01";"2011-11-01";0
12580;1;238.0;415.7;"2011-10-20";"2011-10-20";0
12581;1;161.0;197.71;"2011-03-08";"2011-03-08";0
12582;2;300.0;511.36;"2011-07-19";"2011-11-06";110
12583;15;5060.0;7281.38;"2010-12-01";"2011-12-05";369
12584;9;416.0;2338.15;"2010-12-12";"2011-12-02";355
12585;2;1279.0;2040.1;"2011-03-08";"2011-11-09";246
12586;1;79.0;196.94;"2011-09-01";"2011-09-01";0
12587;1;51.0;144.0;"2011-10-16";"2011-10-16";0
12588;1;53.0;214.9;"2011-03-17";"2011-03-17";0
12589;2;306.0;646.68;"2011-05-04";"2011-06-08";35
12590;2;4283.0;9864.26;"2011-11-23";"2011-11-24";1
12591;1;228.0;452.85;"2011-05-05";"2011-05-06";1
12592;2;290.0;437.6;"2011-09-25";"2011-11-21";57
12593;3;206.0;418.1;"2011-06-09";"2011-11-16";160
12594;10;1777.0;3338.22;"2010-12-17";"2011-12-09";357
12596;2;474.0;618.27;"2010-12-09";"2011-10-30";325
12597;4;2236.0;3811.22;"2010-12-21";"2011-09-12";265
12598;8;1964.0;3023.08;"2011-03-16";"2011-11-15";244
12599;7;956.0;1032.58;"2011-03-08";"2011-11-27";264
12600;10;774.0;2599.04;"2010-12-09";"2011-12-01";357
12601;5;245.0;577.06;"2010-12-05";"2011-12-01";361
12602;1;162.0;153.12;"2011-12-01";"2011-12-01";0
12603;1;63.0;739.2;"2011-08-01";"2011-08-01";0
12604;2;201.0;254.18;"2011-09-25";"2011-10-25";30
12607;1;1228.0;1579.51;"2011-11-29";"2011-11-29";0
12609;3;648.0;1126.85;"2010-12-09";"2011-10-31";326
12610;5;1049.0;2099.54;"2011-01-28";"2011-08-23";207
12611;1;846.0;1193.32;"2010-12-05";"2010-12-05";0
12612;1;262.0;704.04;"2011-11-08";"2011-11-08";0
12613;5;1644.0;3344.38;"2011-09-23";"2011-12-07";75
12614;1;76.0;315.6;"2011-08-17";"2011-08-17";0
12615;4;1376.0;2291.19;"2011-02-27";"2011-11-11";257
12616;2;284.0;713.3;"2011-06-20";"2011-09-16";88
12617;1;213.0;355.53;"2011-06-05";"2011-06-05";0
12618;1;96.0;177.31;"2011-08-01";"2011-08-01";0
12619;9;3378.0;3641.24;"2011-03-23";"2011-11-09";231
12620;3;1181.0;1339.41;"2011-09-18";"2011-11-30";73
12621;20;7440.0;13689.67;"2010-12-05";"2011-12-05";365
12622;1;69.0;180.1;"2011-11-10";"2011-11-10";0
12623;1;191.0;305.1;"2011-08-22";"2011-08-22";0
12624;2;355.0;641.13;"2011-01-20";"2011-08-24";216
12625;2;1612.0;2683.82;"2011-04-26";"2011-11-23";211
12626;9;3453.0;6620.48;"2011-02-15";"2011-11-22";280
12627;7;2752.0;4478.53;"2011-05-15";"2011-11-23";192
12628;3;448.0;786.46;"2011-05-03";"2011-11-22";203
12630;2;548.0;1270.88;"2011-02-08";"2011-10-06";240
12631;1;236.0;640.5;"2011-12-04";"2011-12-04";0
12633;4;1162.0;2163.98;"2011-06-09";"2011-12-08";182
12635;2;1172.0;1689.18;"2011-04-01";"2011-09-28";180
12637;8;3002.0;6021.9;"2011-03-24";"2011-11-17";238
12638;1;577.0;671.69;"2011-04-27";"2011-04-27";0
12639;1;201.0;486.1;"2011-11-06";"2011-11-06";0
12640;3;311.0;1174.58;"2011-07-06";"2011-10-19";105
12641;1;72.0;185.9;"2011-07-21";"2011-07-21";0
12642;3;552.0;1013.26;"2010-12-14";"2011-08-17";246
12643;6;1808.0;3344.64;"2011-01-05";"2011-11-15";314
12644;1;325.0;477.91;"2011-06-09";"2011-06-09";0
12645;4;1084.0;1775.18;"2011-04-26";"2011-11-16";204
12646;2;897.0;1346.97;"2010-12-19";"2011-10-20";305
12647;12;1431.0;3722.82;"2010-12-15";"2011-12-06";356
12648;1;160.0;318.05;"2011-04-03";"2011-04-03";0
12649;3;586.0;623.51;"2011-08-19";"2011-11-23";96
12650;1;254.0;314.44;"2011-10-28";"2011-10-28";0
12651;1;78.0;114.0;"2011-03-24";"2011-03-24";0
12652;1;505.0;919.98;"2011-04-01";"2011-04-01";0
12653;2;919.0;2209.85;"2011-04-18";"2011-06-22";65
12654;5;264.0;601.98;"2011-03-30";"2011-12-07";252
12656;5;1723.0;4051.17;"2011-07-18";"2011-12-02";137
12657;4;1044.0;1643.18;"2011-02-25";"2011-10-28";245
12658;1;320.0;686.05;"2011-08-17";"2011-08-17";0
12659;1;105.0;91.68;"2011-05-31";"2011-05-31";0
12660;1;127.0;245.1;"2011-09-28";"2011-09-28";0
12662;11;2058.0;3849.78;"2010-12-02";"2011-11-04";337
12664;9;1203.0;4881.88;"2011-04-08";"2011-12-01";237
12665;1;37.0;63.0;"2011-04-13";"2011-04-13";0
12667;1;395.0;620.13;"2011-12-02";"2011-12-02";0
12668;4;1634.0;3807.15;"2011-03-02";"2011-09-30";212
12669;3;1115.0;2744.03;"2011-04-12";"2011-10-17";188
12670;5;1397.0;2996.05;"2011-06-06";"2011-12-05";182
12672;1;78.0;225.9;"2011-04-05";"2011-04-05";0
12673;2;351.0;610.52;"2011-04-10";"2011-10-19";192
12674;4;1133.0;1970.6;"2011-02-16";"2011-11-27";284
12676;6;670.0;1331.39;"2010-12-05";"2011-11-14";344
12678;12;10923.0;17628.46;"2010-12-06";"2011-10-28";326
12679;4;554.0;1113.02;"2011-08-02";"2011-12-01";121
12680;4;443.0;862.81;"2011-07-31";"2011-11-09";101
12681;22;7536.0;13787.54;"2010-12-06";"2011-12-07";366
12682;31;5575.0;12288.22;"2010-12-09";"2011-12-08";364
12683;15;4987.0;8476.57;"2010-12-14";"2011-11-23";344
12684;7;1985.0;2283.63;"2011-02-16";"2011-12-08";295
12685;6;1523.0;2863.08;"2010-12-12";"2011-12-02";355
12686;1;107.0;89.14;"2010-12-08";"2010-12-08";0
12688;1;3028.0;4873.81;"2011-07-27";"2011-07-28";1
12689;2;628.0;1247.61;"2011-06-17";"2011-06-24";7
12690;1;106.0;389.01;"2011-11-29";"2011-11-29";0
12691;6;394.0;1035.8;"2011-03-01";"2011-12-01";275
12693;4;255.0;855.91;"2011-04-26";"2011-11-23";211
12694;2;509.0;869.67;"2011-01-04";"2011-11-14";314
12695;4;220.0;582.1;"2011-08-18";"2011-11-25";99
12697;3;508.0;957.59;"2011-02-23";"2011-06-08";105
12700;4;2967.0;4939.99;"2011-03-28";"2011-11-20";237
12701;2;678.0;797.71;"2011-10-25";"2011-10-28";3
12702;1;53.0;219.0;"2011-08-05";"2011-08-05";0
12703;1;164.0;283.55;"2011-11-14";"2011-11-14";0
12704;8;1006.0;2340.84;"2011-02-21";"2011-11-01";253
12705;9;3997.0;6868.29;"2011-02-23";"2011-12-04";284
12707;1;256.0;603.42;"2011-07-06";"2011-07-06";0
12708;10;1307.0;2712.91;"2010-12-20";"2011-12-05";350
12709;15;3936.0;9736.52;"2010-12-01";"2011-12-01";365
12710;3;851.0;1149.02;"2011-03-17";"2011-12-04";262
12712;13;1062.0;4396.13;"2010-12-09";"2011-12-05";361
12713;1;508.0;848.55;"2011-11-04";"2011-11-04";0
12714;5;3069.0;4708.86;"2011-01-11";"2011-11-28";321
12715;1;197.0;353.86;"2011-08-24";"2011-08-24";0
12716;2;708.0;1053.49;"2011-06-02";"2011-10-25";145
12717;2;506.0;1030.98;"2011-04-11";"2011-10-24";196
12718;1;203.0;238.25;"2011-11-13";"2011-11-13";0
12719;2;374.0;644.95;"2011-10-19";"2011-11-21";33
12720;25;4672.0;5781.73;"2010-12-03";"2011-12-08";370
12721;6;1959.0;2656.13;"2011-01-04";"2011-10-25";294
12722;4;566.0;997.63;"2011-04-12";"2011-10-12";183
12723;5;434.0;725.07;"2011-09-08";"2011-11-22";75
12724;4;445.0;1031.41;"2011-02-03";"2011-10-20";259
12725;1;164.0;427.8;"2010-12-09";"2010-12-10";1
12726;7;3143.0;2609.1;"2010-12-14";"2011-11-21";342
12727;7;2098.0;3980.7;"2010-12-07";"2011-10-02";299
12728;4;419.0;836.33;"2011-03-31";"2011-11-13";227
12729;1;233.0;453.01;"2011-07-29";"2011-07-29";0
12731;12;8437.0;18895.91;"2010-12-09";"2011-11-23";349
12732;1;111.0;236.26;"2011-01-11";"2011-01-11";0
12733;1;137.0;383.95;"2011-11-09";"2011-11-09";0
12734;1;88.0;110.4;"2011-03-08";"2011-03-08";0
12735;2;368.0;779.57;"2011-03-18";"2011-05-12";55
12736;1;173.0;234.0;"2011-03-29";"2011-03-29";0
12738;1;148.0;155.35;"2010-12-08";"2010-12-08";0
12739;2;486.0;1013.04;"2011-09-08";"2011-10-30";52
12740;1;342.0;427.6;"2011-11-24";"2011-11-24";0
12743;2;319.0;546.43;"2011-05-27";"2011-05-29";2
12744;7;5241.0;21279.29;"2010-12-08";"2011-12-06";363
12747;11;1275.0;4196.01;"2010-12-16";"2011-12-06";355
12748;209;25747.0;33719.73;"2010-12-02";"2011-12-08";371
12749;5;1471.0;4090.88;"2011-06-08";"2011-11-22";167
12750;1;137.0;275.88;"2011-06-13";"2011-06-13";0
12752;1;2262.0;4366.78;"2011-10-19";"2011-10-19";0
12753;6;11421.0;21429.39;"2011-01-31";"2011-10-18";260
12754;3;6481.0;3010.74;"2011-06-01";"2011-11-07";159
12755;2;1491.0;3811.95;"2011-01-18";"2011-08-11";205
12756;1;144.0;112.08;"2011-10-07";"2011-10-07";0
12757;13;2402.0;7857.1;"2010-12-10";"2011-12-05";360
12758;2;2135.0;2791.59;"2011-07-17";"2011-08-22";36
12759;3;902.0;1531.44;"2010-12-06";"2011-08-24";261
12762;2;1227.0;1898.52;"2011-07-01";"2011-10-13";104
12763;2;316.0;494.08;"2010-12-16";"2011-05-17";152
12764;1;386.0;1693.88;"2011-05-08";"2011-05-08";0
12766;7;3646.0;6989.63;"2011-01-14";"2011-12-02";322
12769;1;356.0;1143.6;"2011-11-06";"2011-11-06";0
12770;1;743.0;1351.45;"2011-11-24";"2011-11-24";0
12772;1;556.0;892.47;"2011-11-29";"2011-11-29";0
12775;5;877.0;1386.04;"2010-12-05";"2011-12-02";362
12778;6;825.0;822.23;"2010-12-20";"2011-11-25";340
12779;8;2024.0;3981.36;"2010-12-05";"2011-12-07";367
12781;2;671.0;826.74;"2011-07-27";"2011-11-24";120
12782;5;1086.0;2330.92;"2011-02-28";"2011-10-20";234
12783;6;624.0;2225.91;"2011-05-09";"2011-12-07";212
12784;2;300.0;574.42;"2011-09-13";"2011-10-07";24
12785;1;131.0;311.95;"2011-01-27";"2011-01-27";0
12787;3;261.0;463.66;"2011-09-26";"2011-12-08";73
12789;1;4.0;91.85;"2011-11-21";"2011-11-21";0
12790;1;166.0;324.92;"2011-12-08";"2011-12-09";1
12791;1;97.0;192.6;"2010-12-01";"2010-12-01";0
12792;1;217.0;400.54;"2011-10-03";"2011-10-04";1
12793;2;295.0;545.48;"2010-12-09";"2011-03-24";105
12794;2;592.0;860.41;"2010-12-02";"2011-09-11";283
12795;1;68.0;430.48;"2011-08-17";"2011-08-17";0
12797;1;118.0;254.03;"2011-01-18";"2011-01-19";1
12798;3;5256.0;6977.04;"2011-02-02";"2011-10-05";245
12802;1;314.0;427.58;"2010-12-08";"2010-12-08";0
12808;3;188.0;483.65;"2010-12-15";"2011-03-31";106
12809;1;220.0;489.31;"2011-01-19";"2011-01-19";0
12811;3;230.0;514.85;"2011-07-31";"2011-09-26";57
12812;1;164.0;229.64;"2011-01-31";"2011-01-31";0
12814;1;49.0;125.92;"2011-09-02";"2011-09-02";0
12815;2;379.0;1063.46;"2011-04-20";"2011-12-07";231
12816;2;128.0;572.2;"2011-01-26";"2011-09-16";233
12817;1;53.0;166.04;"2011-08-09";"2011-08-09";0
12818;1;929.0;1542.08;"2011-09-25";"2011-09-25";0
12820;4;722.0;942.34;"2011-02-03";"2011-11-07";277
12821;1;70.0;92.72;"2011-11-21";"2011-11-21";0
12822;2;550.0;948.88;"2011-10-06";"2011-11-14";39
12823;5;230.0;1759.5;"2011-06-21";"2011-11-07";139
12824;1;232.0;397.12;"2011-11-30";"2011-11-30";0
12826;7;1058.0;1474.72;"2011-01-14";"2011-11-11";301
12827;3;197.0;430.15;"2011-02-04";"2011-10-18";256
12828;6;494.0;1018.71;"2011-06-09";"2011-11-20";164
12829;2;376.0;293.0;"2011-02-17";"2011-03-20";31
12830;6;9848.0;6814.64;"2011-02-13";"2011-09-27";226
12831;1;135.0;215.05;"2011-09-23";"2011-09-23";0
12832;2;195.0;383.03;"2011-05-11";"2011-09-11";123
12833;1;156.0;417.38;"2011-04-28";"2011-04-28";0
12834;1;110.0;312.38;"2011-08-04";"2011-08-04";0
12836;4;1064.0;2612.86;"2011-05-19";"2011-12-01";196
12837;1;24.0;134.1;"2011-02-04";"2011-02-04";0
12838;2;359.0;683.13;"2010-12-01";"2011-04-21";141
12839;14;3807.0;5591.42;"2010-12-20";"2011-12-07";352
12840;4;1511.0;2726.77;"2011-01-05";"2011-11-21";320
12841;25;2757.0;4022.35;"2010-12-08";"2011-11-21";348
12842;2;547.0;1118.99;"2011-06-02";"2011-11-15";166
12843;8;781.0;1702.26;"2010-12-09";"2011-11-21";347
12844;2;125.0;325.96;"2011-06-05";"2011-06-08";3
12845;4;204.0;354.09;"2011-07-12";"2011-09-13";63
12847;1;909.0;871.54;"2011-07-25";"2011-07-25";0
12849;2;623.0;1050.89;"2011-05-18";"2011-09-11";116
12851;1;109.0;135.18;"2011-09-12";"2011-09-13";1
12852;1;149.0;311.55;"2011-06-29";"2011-06-29";0
12853;6;800.0;1957.1;"2011-05-11";"2011-11-04";177
12854;3;627.0;1324.5;"2011-05-01";"2011-10-31";183
12855;1;30.0;38.1;"2010-12-05";"2010-12-05";0
12856;6;1079.0;2179.93;"2011-03-11";"2011-12-05";269
12857;2;343.0;1106.4;"2011-06-10";"2011-11-24";167
12863;1;188.0;521.2;"2010-12-06";"2010-12-06";0
12864;1;216.0;147.12;"2011-05-17";"2011-05-17";0
12865;2;925.0;1568.23;"2011-06-20";"2011-06-28";8
12866;1;171.0;559.12;"2011-08-03";"2011-08-03";0
12867;7;4298.0;4036.82;"2011-02-17";"2011-11-21";277
12868;6;928.0;1607.06;"2010-12-02";"2011-11-17";350
12871;2;200.0;380.64;"2011-10-14";"2011-11-27";44
12872;2;319.0;599.97;"2011-01-21";"2011-04-08";77
12873;1;128.0;374.0;"2011-08-05";"2011-08-05";0
12875;2;2019.0;343.23;"2011-02-01";"2011-05-09";97
12876;2;1941.0;2218.02;"2011-12-04";"2011-12-08";4
12877;12;1178.0;1535.77;"2011-01-21";"2011-12-05";318
12878;2;547.0;854.99;"2011-09-16";"2011-11-06";51
12879;3;370.0;573.22;"2011-02-01";"2011-10-19";260
12881;1;21.0;298.0;"2011-08-24";"2011-08-24";0
12882;2;246.0;1463.04;"2011-04-19";"2011-10-07";171
12883;4;196.0;703.47;"2011-07-07";"2011-09-30";85
12884;1;43.0;309.05;"2011-10-03";"2011-10-03";0
12885;3;655.0;1175.22;"2011-06-29";"2011-11-24";148
12886;2;770.0;1378.4;"2011-11-16";"2011-11-16";0
12888;2;76.0;354.12;"2011-10-06";"2011-11-21";46
12890;1;259.0;380.47;"2011-07-13";"2011-07-13";0
12891;3;950.0;331.0;"2010-12-10";"2011-11-15";340
12893;1;96.0;188.14;"2011-05-23";"2011-05-23";0
12895;2;210.0;372.8;"2011-02-23";"2011-10-07";226
12897;2;110.0;216.5;"2011-06-13";"2011-11-30";170
12901;28;23075.0;17654.54;"2010-12-15";"2011-12-06";356
12902;1;66.0;138.68;"2011-09-18";"2011-09-18";0
12904;2;302.0;509.58;"2011-02-09";"2011-08-21";193
12906;5;1749.0;2919.81;"2011-09-25";"2011-10-31";36
12908;2;1200.0;750.0;"2011-01-27";"2011-05-17";110
