customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12427,12,3,825.8,5,3,3,533,Loyalists
12428,43,9,7956.46,3,5,5,355,Loyalists
12429,29,4,3750.4,4,4,5,445,Champions
12430,298,1,256.4,1,1,2,112,Hibernating
12431,5,15,6487.45,5,5,5,555,Champions
12432,292,5,5059.32,1,4,5,145,At risk
12433,36,7,13375.87,3,5,5,355,Loyalists
12434,58,2,806.14,3,2,3,323,At risk
12435,47,2,7829.89,3,2,5,325,At risk
12436,95,1,509.01,2,1,3,213,Hibernating
12437,4,18,4951.41,5,5,5,555,Champions
12438,82,2,2906.85,2,2,5,225,Hibernating
12441,333,1,173.55,1,1,1,111,Hibernating
12442,44,1,172.06,3,1,1,311,At risk
12444,9,5,5005.46,5,4,5,545,Champions
12445,134,1,133.4,2,1,1,211,Hibernating
12446,6,1,1002.31,5,1,4,514,At risk
12447,45,1,476.49,3,1,2,312,At risk
12448,310,1,449.45,1,1,2,112,Hibernating
12449,76,4,4067.29,2,4,5,245,At risk
12450,257,2,197.88,1,2,1,121,Hibernating
12451,19,5,9035.52,4,4,5,445,Champions
12452,97,2,430.57,2,2,2,222,Hibernating
12453,198,1,707.09,1,1,3,113,Hibernating
12454,4,1,3528.34,5,1,5,515,At risk
12455,31,6,2466.86,3,4,5,345,Loyalists
12456,65,3,3181.04,3,3,5,335,Loyalists
12457,22,7,2363.23,4,5,5,455,Champions
12458,27,2,947.4,4,2,4,424,At risk
12461,80,2,826.88,2,2,3,223,Hibernating
12462,115,2,1189.59,2,2,4,224,Hibernating
12463,12,4,1344.78,5,4,4,544,Champions
12464,5,8,1212.05,5,5,4,554,Champions
12465,100,2,742.19,2,2,3,223,Hibernating
12468,215,2,729.54,1,2,3,123,Hibernating
12471,16,30,19824.05,4,5,5,455,Champions
12472,88,7,6572.11,2,5,5,255,At risk
12473,1,5,3938.55,5,4,5,545,Champions
12474,3,18,7375.79,5,5,5,555,Champions
12475,3,1,723.38,5,1,3,513,At risk
12476,23,11,6816.42,4,5,5,455,Champions
12477,5,6,13219.74,5,4,5,545,Champions
12478,46,1,680.99,3,1,3,313,At risk
12479,73,1,527.2,2,1,3,213,Hibernating
12480,88,4,3281.63,2,4,5,245,At risk
12481,10,10,5596.32,5,5,5,555,Champions
12483,11,8,2484.98,5,5,5,555,Champions
12484,97,6,4541.72,2,4,5,245,At risk
12488,36,3,1298.66,3,3,4,334,Loyalists
12489,264,1,334.93,1,1,2,112,Hibernating
12490,20,10,5417.93,4,5,5,455,Champions
12491,265,1,460.4,1,1,2,112,Hibernating
12492,15,2,263.21,4,2,2,422,At risk
12493,2,2,433.74,5,2,2,522,At risk
12494,2,7,1246.1,5,5,4,554,Champions
12497,52,1,1043.1,3,1,4,314,At risk
12498,8,3,403.7,5,3,2,532,Loyalists
12500,18,11,4257.82,4,5,5,455,Champions
12501,264,1,2169.39,1,1,5,115,Hibernating
12502,23,5,3723.87,4,4,5,445,Champions
12504,110,2,482.05,2,2,2,222,Hibernating
12506,30,1,73.5,4,1,1,411,At risk
12507,177,3,1304.81,1,3,4,134,At risk
12508,171,2,398.27,1,2,2,122,Hibernating
12509,132,1,176.5,2,1,1,211,Hibernating
12510,215,2,982.57,1,2,4,124,Hibernating
12512,20,2,138.03,4,2,1,421,At risk
12513,130,1,612.29,2,1,3,213,Hibernating
12514,87,1,1017.68,2,1,4,214,Hibernating
12515,277,1,383.7,1,1,2,112,Hibernating
12516,39,2,1312.06,3,2,4,324,At risk
12517,31,5,2502.84,3,4,5,345,Loyalists
12518,9,5,2056.89,5,4,4,544,Champions
12519,17,1,340.84,4,1,2,412,At risk
12520,10,5,2634.26,5,4,5,545,Champions
12521,215,1,599.68,1,1,3,113,Hibernating
12522,268,2,192.72,1,2,1,121,Hibernating
12523,17,11,1789.77,4,5,4,454,Champions
12524,10,8,4485.72,5,5,5,555,Champions
12526,3,3,1316.66,5,3,4,534,Loyalists
12527,52,3,348.71,3,3,2,332,Loyalists
12528,16,6,1933.48,4,5,4,454,Champions
12530,10,4,1662.28,5,4,4,544,Champions
12531,83,1,125.22,2,1,1,211,Hibernating
12532,201,1,349.83,1,1,2,112,Hibernating
12534,185,1,1089.18,1,1,4,114,Hibernating
12535,76,2,716.35,2,2,3,223,Hibernating
12536,10,3,12601.83,5,3,5,535,Loyalists
12538,186,1,363.95,1,1,2,112,Hibernating
12539,78,4,5568.35,2,4,5,245,At risk
12540,2,17,13400.24,5,5,5,555,Champions
12541,122,3,981.18,2,3,4,234,At risk
12544,249,1,372.7,1,1,2,112,Hibernating
12545,34,2,1000.39,3,2,4,324,At risk
12546,38,2,1161.5,3,2,4,324,At risk
12547,3,2,207.8,5,2,1,521,At risk
12548,281,1,95.2,1,1,1,111,Hibernating
12550,45,1,964.83,3,1,4,314,At risk
12551,285,1,168.0,1,1,1,111,Hibernating
12552,267,2,437.82,1,2,2,122,Hibernating
12553,8,10,3692.28,5,5,5,555,Champions
12556,244,2,603.71,1,2,3,123,Hibernating
12557,66,5,11990.96,2,4,5,245,At risk
12558,57,1,269.96,3,1,2,312,At risk
12559,200,2,561.71,1,2,3,123,Hibernating
12560,52,3,2134.01,3,3,5,335,Loyalists
12561,183,1,238.85,1,1,1,111,Hibernating
12562,3,7,3781.74,5,5,5,555,Champions
12564,75,1,456.9,2,1,2,212,Hibernating
12565,144,1,145.92,2,1,1,211,Hibernating
12566,61,1,351.65,3,1,2,312,At risk
12567,6,10,9401.28,5,5,5,555,Champions
12569,9,32,4124.69,5,5,5,555,Champions
12571,156,2,519.61,2,2,3,223,Hibernating
12572,61,2,1020.42,3,2,4,324,At risk
12573,27,1,160.54,4,1,1,411,At risk
12574,213,1,218.45,1,1,1,111,Hibernating
12576,23,5,1315.83,4,4,4,444,Champions
12577,241,3,657.8,1,3,3,133,At risk
12578,128,2,2794.51,2,2,5,225,Hibernating
12579,39,1,440.42,3,1,2,312,At risk
12580,51,1,415.7,3,1,2,312,At risk
12581,277,1,197.71,1,1,1,111,Hibernating
12582,34,2,511.36,3,2,3,323,At risk
12583,5,15,7281.38,5,5,5,555,Champions
12584,8,9,2338.15,5,5,5,555,Champions
12585,31,2,2040.1,3,2,4,324,At risk
12586,100,1,196.94,2,1,1,211,Hibernating
12587,55,1,144.0,3,1,1,311,At risk
12588,268,1,214.9,1,1,1,111,Hibernating
12589,185,2,646.68,1,2,3,123,Hibernating
12590,16,2,9864.26,4,2,5,425,At risk
12591,218,1,452.85,1,1,2,112,Hibernating
12592,19,2,437.6,4,2,2,422,At risk
12593,24,3,418.1,4,3,2,432,Loyalists
12594,1,10,3338.22,5,5,5,555,Champions
12596,41,2,618.27,3,2,3,323,At risk
12597,89,4,3811.22,2,4,5,245,At risk
12598,25,8,3023.08,4,5,5,455,Champions
12599,13,7,1032.58,4,5,4,454,Champions
12600,9,10,2599.04,5,5,5,555,Champions
12601,9,5,577.06,5,4,3,543,Loyalists
12602,9,1,153.12,5,1,1,511,At risk
12603,131,1,739.2,2,1,3,213,Hibernating
12604,46,2,254.18,3,2,2,322,At risk
12607,11,1,1579.51,5,1,4,514,At risk
12609,40,3,1126.85,3,3,4,334,Loyalists
12610,109,5,2099.54,2,4,5,245,At risk
12611,370,1,1193.32,1,1,4,114,Hibernating
12612,32,1,704.04,3,1,3,313,At risk
12613,3,5,3344.38,5,4,5,545,Champions
12614,115,1,315.6,2,1,2,212,Hibernating
12615,29,4,2291.19,4,4,5,445,Champions
12616,85,2,713.3,2,2,3,223,Hibernating
12617,188,1,355.53,1,1,2,112,Hibernating
12618,131,1,177.31,2,1,1,211,Hibernating
12619,31,9,3641.24,3,5,5,355,Loyalists
12620,10,3,1339.41,5,3,4,534,Loyalists
12621,5,20,13689.67,5,5,5,555,Champions
12622,30,1,180.1,4,1,1,411,At risk
12623,110,1,305.1,2,1,2,212,Hibernating
12624,108,2,641.13,2,2,3,223,Hibernating
12625,17,2,2683.82,4,2,5,425,At risk
12626,18,9,6620.48,4,5,5,455,Champions
12627,17,7,4478.53,4,5,5,455,Champions
12628,18,3,786.46,4,3,3,433,Loyalists
12630,65,2,1270.88,3,2,4,324,At risk
12631,6,1,640.5,5,1,3,513,At risk
12633,2,4,2163.98,5,4,5,545,Champions
12635,73,2,1689.18,2,2,4,224,Hibernating
12637,23,8,6021.9,4,5,5,455,Champions
12638,227,1,671.69,1,1,3,113,Hibernating
12639,34,1,486.1,3,1,2,312,At risk
12640,52,3,1174.58,3,3,4,334,Loyalists
12641,142,1,185.9,2,1,1,211,Hibernating
12642,115,3,1013.26,2,3,4,234,At risk
12643,25,6,3344.64,4,5,5,455,Champions
12644,184,1,477.91,1,1,2,112,Hibernating
12645,24,4,1775.18,4,4,4,444,Champions
12646,51,2,1346.97,3,2,4,324,At risk
12647,4,12,3722.82,5,5,5,555,Champions
12648,251,1,318.05,1,1,2,112,Hibernating
12649,17,3,623.51,4,3,3,433,Loyalists
12650,43,1,314.44,3,1,2,312,At risk
12651,261,1,114.0,1,1,1,111,Hibernating
12652,253,1,919.98,1,1,3,113,Hibernating
12653,171,2,2209.85,1,2,5,125,Hibernating
12654,3,5,601.98,5,4,3,543,Loyalists
12656,8,5,4051.17,5,4,5,545,Champions
12657,43,4,1643.18,3,4,4,344,Loyalists
12658,115,1,686.05,2,1,3,213,Hibernating
12659,193,1,91.68,1,1,1,111,Hibernating
12660,73,1,245.1,2,1,1,211,Hibernating
12662,36,11,3849.78,3,5,5,355,Loyalists
12664,9,9,4881.88,5,5,5,555,Champions
12665,241,1,63.0,1,1,1,111,Hibernating
12667,8,1,620.13,5,1,3,513,At risk
12668,71,4,3807.15,2,4,5,245,At risk
12669,54,3,2744.03,3,3,5,335,Loyalists
12670,5,5,2996.05,5,4,5,545,Champions
12672,249,1,225.9,1,1,1,111,Hibernating
12673,52,2,610.52,3,2,3,323,At risk
12674,13,4,1970.6,4,4,4,444,Champions
12676,26,6,1331.39,4,5,4,454,Champions
12678,43,12,17628.46,3,5,5,355,Loyalists
12679,9,4,1113.02,5,4,4,544,Champions
12680,31,4,862.81,3,4,3,343,Loyalists
12681,3,22,13787.54,5,5,5,555,Champions
12682,2,31,12288.22,5,5,5,555,Champions
12683,17,15,8476.57,4,5,5,455,Champions
12684,2,7,2283.63,5,5,5,555,Champions
12685,8,6,2863.08,5,5,5,555,Champions
12686,367,1,89.14,1,1,1,111,Hibernating
12688,135,1,4873.81,2,1,5,215,Hibernating
12689,169,2,1247.61,1,2,4,124,Hibernating
12690,11,1,389.01,5,1,2,512,At risk
12691,9,6,1035.8,5,5,4,554,Champions
12693,17,4,855.91,4,4,3,443,Loyalists
12694,26,2,869.67,4,2,3,423,At risk
12695,15,4,582.1,4,4,3,443,Loyalists
12697,185,3,957.59,1,3,4,134,At risk
12700,20,4,4939.99,4,4,5,445,Champions
12701,43,2,797.71,3,2,3,323,At risk
12702,127,1,219.0,2,1,1,211,Hibernating
12703,26,1,283.55,4,1,2,412,At risk
12704,39,8,2340.84,3,5,5,355,Loyalists
12705,6,9,6868.29,5,5,5,555,Champions
12707,157,1,603.42,2,1,3,213,Hibernating
12708,5,10,2712.91,5,5,5,555,Champions
12709,9,15,9736.52,5,5,5,555,Champions
12710,6,3,1149.02,5,3,4,534,Loyalists
12712,5,13,4396.13,5,5,5,555,Champions
12713,36,1,848.55,3,1,3,313,At risk
12714,12,5,4708.86,5,4,5,545,Champions
12715,108,1,353.86,2,1,2,212,Hibernating
12716,46,2,1053.49,3,2,4,324,At risk
12717,47,2,1030.98,3,2,4,324,At risk
12718,27,1,238.25,4,1,1,411,At risk
12719,19,2,644.95,4,2,3,423,At risk
12720,2,25,5781.73,5,5,5,555,Champions
12721,46,6,2656.13,3,5,5,355,Loyalists
12722,59,4,997.63,3,4,4,344,Loyalists
12723,18,5,725.07,4,4,3,443,Loyalists
12724,51,4,1031.41,3,4,4,344,Loyalists
12725,365,1,427.8,1,1,2,112,Hibernating
12726,19,7,2609.1,4,5,5,455,Champions
12727,69,7,3980.7,2,5,5,255,At risk
12728,27,4,836.33,4,4,3,443,Loyalists
12729,134,1,453.01,2,1,2,212,Hibernating
12731,17,12,18895.91,4,5,5,455,Champions
12732,333,1,236.26,1,1,1,111,Hibernating
12733,31,1,383.95,3,1,2,312,At risk
12734,277,1,110.4,1,1,1,111,Hibernating
12735,212,2,779.57,1,2,3,123,Hibernating
12736,256,1,234.0,1,1,1,111,Hibernating
12738,367,1,155.35,1,1,1,111,Hibernating
12739,41,2,1013.04,3,2,4,324,At risk
12740,16,1,427.6,4,1,2,412,At risk
12743,195,2,546.43,1,2,3,123,Hibernating
12744,4,7,21279.29,5,5,5,555,Champions
12747,4,11,4196.01,5,5,5,555,Champions
12748,2,209,33719.73,5,5,5,555,Champions
12749,18,5,4090.88,4,4,5,445,Champions
12750,180,1,275.88,1,1,2,112,Hibernating
12752,52,1,4366.78,3,1,5,315,At risk
12753,53,6,21429.39,3,5,5,355,Loyalists
12754,33,3,3010.74,3,3,5,335,Loyalists
12755,121,2,3811.95,2,2,5,225,Hibernating
12756,64,1,112.08,3,1,1,311,At risk
12757,5,13,7857.1,5,5,5,555,Champions
12758,110,2,2791.59,2,2,5,225,Hibernating
12759,108,3,1531.44,2,3,4,234,At risk
12762,58,2,1898.52,3,2,4,324,At risk
12763,207,2,494.08,1,2,3,123,Hibernating
12764,216,1,1693.88,1,1,4,114,Hibernating
12766,8,7,6989.63,5,5,5,555,Champions
12769,34,1,1143.6,3,1,4,314,At risk
12770,16,1,1351.45,4,1,4,414,At risk
12772,11,1,892.47,5,1,3,513,At risk
12775,8,5,1386.04,5,4,4,544,Champions
12778,15,6,822.23,4,5,3,453,Loyalists
12779,3,8,3981.36,5,5,5,555,Champions
12781,16,2,826.74,4,2,3,423,At risk
12782,51,5,2330.92,3,4,5,345,Loyalists
12783,3,6,2225.91,5,5,5,555,Champions
12784,64,2,574.42,3,2,3,323,At risk
12785,317,1,311.95,1,1,2,112,Hibernating
12787,2,3,463.66,5,3,2,532,Loyalists
12789,19,1,91.85,4,1,1,411,At risk
12790,1,1,324.92,5,1,2,512,At risk
12791,374,1,192.6,1,1,1,111,Hibernating
12792,67,1,400.54,2,1,2,212,Hibernating
12793,261,2,545.48,1,2,3,123,Hibernating
12794,90,2,860.41,2,2,3,223,Hibernating
12795,115,1,430.48,2,1,2,212,Hibernating
12797,325,1,254.03,1,1,2,112,Hibernating
12798,66,3,6977.04,2,3,5,235,At risk
12802,367,1,427.58,1,1,2,112,Hibernating
12808,254,3,483.65,1,3,2,132,At risk
12809,325,1,489.31,1,1,2,112,Hibernating
12811,75,3,514.85,2,3,3,233,At risk
12812,313,1,229.64,1,1,1,111,Hibernating
12814,99,1,125.92,2,1,1,211,Hibernating
12815,3,2,1063.46,5,2,4,524,At risk
12816,85,2,572.2,2,2,3,223,Hibernating
12817,123,1,166.04,2,1,1,211,Hibernating
12818,76,1,1542.08,2,1,4,214,Hibernating
12820,33,4,942.34,3,4,4,344,Loyalists
12821,19,1,92.72,4,1,1,411,At risk
12822,26,2,948.88,4,2,4,424,At risk
12823,33,5,1759.5,3,4,4,344,Loyalists
12824,10,1,397.12,5,1,2,512,At risk
12826,29,7,1474.72,4,5,4,454,Champions
12827,53,3,430.15,3,3,2,332,Loyalists
12828,20,6,1018.71,4,5,4,454,Champions
12829,265,2,293.0,1,2,2,122,Hibernating
12830,74,6,6814.64,2,5,5,255,At risk
12831,78,1,215.05,2,1,1,211,Hibernating
12832,90,2,383.03,2,2,2,222,Hibernating
12833,226,1,417.38,1,1,2,112,Hibernating
12834,128,1,312.38,2,1,2,212,Hibernating
12836,9,4,2612.86,5,4,5,545,Champions
12837,309,1,134.1,1,1,1,111,Hibernating
12838,233,2,683.13,1,2,3,123,Hibernating
12839,3,14,5591.42,5,5,5,555,Champions
12840,19,4,2726.77,4,4,5,445,Champions
12841,19,25,4022.35,4,5,5,455,Champions
12842,25,2,1118.99,4,2,4,424,At risk
12843,19,8,1702.26,4,5,4,454,Champions
12844,185,2,325.96,1,2,2,122,Hibernating
12845,88,4,354.09,2,4,2,242,At risk
12847,138,1,871.54,2,1,3,213,Hibernating
12849,90,2,1050.89,2,2,4,224,Hibernating
12851,88,1,135.18,2,1,1,211,Hibernating
12852,164,1,311.55,1,1,2,112,Hibernating
12853,36,6,1957.1,3,5,4,354,Loyalists
12854,40,3,1324.5,3,3,4,334,Loyalists
12855,370,1,38.1,1,1,1,111,Hibernating
12856,5,6,2179.93,5,5,5,555,Champions
12857,16,2,1106.4,4,2,4,424,At risk
12863,369,1,521.2,1,1,3,113,Hibernating
12864,207,1,147.12,1,1,1,111,Hibernating
12865,165,2,1568.23,1,2,4,124,Hibernating
12866,129,1,559.12,2,1,3,213,Hibernating
12867,19,7,4036.82,4,5,5,455,Champions
12868,23,6,1607.06,4,5,4,454,Champions
12871,13,2,380.64,4,2,2,422,At risk
12872,246,2,599.97,1,2,3,123,Hibernating
12873,127,1,374.0,2,1,2,212,Hibernating
12875,215,2,343.23,1,2,2,122,Hibernating
12876,2,2,2218.02,5,2,5,525,At risk
12877,5,12,1535.77,5,5,4,554,Champions
12878,34,2,854.99,3,2,3,323,At risk
12879,52,3,573.22,3,3,3,333,Loyalists
12881,108,1,298.0,2,1,2,212,Hibernating
12882,64,2,1463.04,3,2,4,324,At risk
12883,71,4,703.47,2,4,3,243,At risk
12884,68,1,309.05,2,1,2,212,Hibernating
12885,16,3,1175.22,4,3,4,434,Loyalists
12886,24,2,1378.4,4,2,4,424,At risk
12888,19,2,354.12,4,2,2,422,At risk
12890,150,1,380.47,2,1,2,212,Hibernating
12891,25,3,331.0,4,3,2,432,Loyalists
12893,201,1,188.14,1,1,1,111,Hibernating
12895,64,2,372.8,3,2,2,322,At risk
12897,10,2,216.5,5,2,1,521,At risk
12901,4,28,17654.54,5,5,5,555,Champions
12902,83,1,138.68,2,1,1,211,Hibernating
12904,111,2,509.58,2,2,3,223,Hibernating
12906,40,5,2919.81,3,4,5,345,Loyalists
12908,207,2,750.0,1,2,3,123,Hibernating
12909,6,5,2178.67,5,4,5,545,Champions
12910,3,8,3075.04,5,5,5,555,Champions
12912,43,5,1662.3,3,4,4,344,Loyalists
12913,51,5,2483.63,3,4,5,345,Loyalists
12915,236,2,363.65,1,2,2,122,Hibernating
12916,8,4,3006.15,5,4,5,545,Champions
12917,177,1,594.0,1,1,3,113,Hibernating
12919,60,6,1335.19,3,5,4,354,Loyalists
12920,101,1,164.23,2,1,1,211,Hibernating
12921,18,37,16587.09,4,5,5,455,Champions
12922,268,1,405.38,1,1,2,112,Hibernating
12923,17,1,176.97,4,1,1,411,At risk
12924,3,4,933.7,5,4,3,543,Loyalists
12925,33,2,694.05,3,2,3,323,At risk
12928,41,5,2062.7,3,4,5,345,Loyalists
12929,204,1,117.85,1,1,1,111,Hibernating
12930,40,2,415.8,3,2,2,322,At risk
12931,9,15,42055.96,5,5,5,555,Champions
12933,130,3,607.53,2,3,3,233,At risk
12935,8,7,2160.7,5,5,5,555,Champions
12936,41,4,1063.9,3,4,4,344,Loyalists
12937,2,4,1504.27,5,4,4,544,Champions
12938,166,1,114.14,1,1,1,111,Hibernating
12939,17,8,11581.8,4,5,5,455,Champions
12940,4,2,913.54,5,2,3,523,At risk
12942,3,3,683.9,5,3,3,533,Loyalists
12944,246,2,604.51,1,2,3,123,Hibernating
12945,143,1,462.95,2,1,2,212,Hibernating
12947,32,6,1603.99,3,5,4,354,Loyalists
12948,9,7,2064.95,5,5,5,555,Champions
12949,12,8,4167.22,5,5,5,555,Champions
12950,41,3,1843.0,3,3,4,334,Loyalists
12951,9,6,1064.07,5,5,4,554,Champions
12952,40,4,1387.79,3,4,4,344,Loyalists
12953,65,1,329.85,3,1,2,312,At risk
12955,9,11,4757.16,5,5,5,555,Champions
12956,188,1,108.07,1,1,1,111,Hibernating
12957,10,8,4017.54,5,5,5,555,Champions
12962,54,2,266.39,3,2,2,322,At risk
12963,59,8,1856.63,3,5,4,354,Loyalists
12965,69,1,771.91,2,1,3,213,Hibernating
12966,65,1,160.18,3,1,1,311,At risk
12967,286,2,1660.9,1,2,4,124,Hibernating
12968,129,1,135.95,2,1,1,211,Hibernating
12970,54,4,452.24,3,4,2,342,Loyalists
12971,2,86,11189.91,5,5,5,555,Champions
12974,3,1,144.8,5,1,1,511,At risk
12976,17,1,738.6,4,1,3,413,At risk
12977,257,1,39.24,1,1,1,111,Hibernating
12980,15,9,7374.9,4,5,5,455,Champions
12981,191,2,372.22,1,2,2,122,Hibernating
12982,43,1,390.54,3,1,2,312,At risk
12984,113,1,97.5,2,1,1,211,Hibernating
12985,36,2,1239.38,3,2,4,324,At risk
12987,3,2,558.7,5,2,3,523,At risk
12988,159,1,535.32,2,1,3,213,Hibernating
12989,3,15,6924.11,5,5,5,555,Champions
12990,198,3,409.5,1,3,2,132,At risk
12991,129,2,503.76,2,2,3,223,Hibernating
12993,13,4,414.76,4,4,2,442,Loyalists
12994,47,3,974.42,3,3,4,334,Loyalists
12995,59,1,211.32,3,1,1,311,At risk
12997,34,4,1226.89,3,4,4,344,Loyalists
12999,2,3,455.88,5,3,2,532,Loyalists
13000,72,3,534.85,2,3,3,233,At risk
13001,23,13,9818.82,4,5,5,455,Champions
13002,220,1,120.95,1,1,1,111,Hibernating
13003,20,3,149.05,4,3,1,431,Loyalists
13004,16,18,5655.91,4,5,5,455,Champions
13005,48,2,513.7,3,2,3,323,At risk
13006,5,1,81.57,5,1,1,511,At risk
13008,237,1,229.47,1,1,1,111,Hibernating
13011,367,1,50.55,1,1,1,111,Hibernating
13012,19,8,1661.84,4,5,4,454,Champions
13013,18,13,4810.94,4,5,5,455,Champions
13014,25,10,3466.28,4,5,5,455,Champions
13015,2,5,3346.28,5,4,5,545,Champions
13016,31,3,789.89,3,3,3,333,Loyalists
13017,54,1,204.0,3,1,1,311,At risk
13018,2,28,7277.7,5,5,5,555,Champions
13021,22,9,2616.38,4,5,5,455,Champions
13023,17,2,689.9,4,2,3,423,At risk
13026,25,5,975.36,4,4,4,444,Champions
13027,31,6,6912.0,3,5,5,355,Loyalists
13028,141,2,661.32,2,2,3,223,Hibernating
13029,204,3,1247.5,1,3,4,134,At risk
13030,72,2,799.48,2,2,3,223,Hibernating
13032,64,2,1010.18,3,2,4,324,At risk
13033,284,1,190.55,1,1,1,111,Hibernating
13034,4,2,642.77,5,2,3,523,At risk
13035,32,2,921.88,3,2,3,323,At risk
13037,24,3,881.07,4,3,3,433,Loyalists
13038,47,3,908.46,3,3,3,333,Loyalists
13040,61,2,676.99,3,2,3,323,At risk
13043,99,1,516.42,2,1,3,213,Hibernating
13044,156,1,560.47,2,1,3,213,Hibernating
13045,93,1,305.28,2,1,2,212,Hibernating
13046,83,2,629.31,2,2,3,223,Hibernating
13047,5,10,3237.54,5,5,5,555,Champions
13048,34,4,1835.91,3,4,4,344,Loyalists
13049,17,2,656.68,4,2,3,423,At risk
13050,5,17,5836.86,5,5,5,555,Champions
13052,17,1,348.15,4,1,2,412,At risk
13055,19,3,1214.41,4,3,4,434,Loyalists
13058,8,3,271.4,5,3,2,532,Loyalists
13059,57,1,183.4,3,1,1,311,At risk
13060,61,1,307.53,3,1,2,312,At risk
13061,29,1,248.61,4,1,1,411,At risk
13062,374,1,346.98,1,1,2,112,Hibernating
13064,67,4,1119.49,2,4,4,244,At risk
13065,370,1,205.86,1,1,1,111,Hibernating
13066,153,2,470.8,2,2,2,222,Hibernating
13067,55,1,115.46,3,1,1,311,At risk
13068,67,2,344.0,2,2,2,222,Hibernating
13069,3,24,4436.12,5,5,5,555,Champions
13070,2,1,228.8,5,1,1,511,At risk
13072,87,1,177.15,2,1,1,211,Hibernating
13075,184,1,919.61,1,1,3,113,Hibernating
13077,37,4,729.27,3,4,3,343,Loyalists
13078,5,26,12627.94,5,5,5,555,Champions
13079,34,5,220.1,3,4,1,341,Loyalists
13080,331,1,58.08,1,1,1,111,Hibernating
13081,23,11,28337.38,4,5,5,455,Champions
13082,33,9,3613.63,3,5,5,355,Loyalists
13083,36,2,303.75,3,2,2,322,At risk
13085,165,2,416.08,1,2,2,122,Hibernating
13089,4,97,58825.83,5,5,5,555,Champions
13090,2,14,8910.82,5,5,5,555,Champions
13091,178,1,345.82,1,1,2,112,Hibernating
13092,17,5,477.83,4,4,2,442,Loyalists
13093,107,8,7832.47,2,5,5,255,At risk
13094,11,12,1927.32,5,5,4,554,Champions
